approach,term,vocabulary
Acupuncture,Acupuncture,"Natrual Medicine,Integrative Nursing, NCCIH, MESH, Mayo, Duke, Cochrane"
Acupuncture,Acupuntura,Natrual Medicine
Acupuncture,Acuponcture,Natrual Medicine
Acupuncture,Acuponcture Chinoise,Natrual Medicine
Acupuncture,Chinese Acupuncture,Natrual Medicine
Acupuncture Analgesia,Acupuncture Analgesia,MESH
Acustimulation,Acustimulation,Natrual Medicine
Aikido,Aikido,Natrual Medicine
Alexander Technique,Alexander Technique,Natrual Medicine
Alexander Technique,Technique Alexander,Natrual Medicine
Animal Assisted Therapy,Animal Assisted Therapy,"Natrual Medicine,Integrative Nursing, Lindquist, Mayo"
Animal Assisted Therapy,Canine-Assisted Therapy,Natrual Medicine
Animal Assisted Therapy,Pet-Assisted Therapy,Natrual Medicine
Animal Assisted Therapy,Pet-Facilitated Therapy,Natrual Medicine
Animal Assisted Therapy,Animal-Assisted Activities,Natrual Medicine
Animal Assisted Therapy,Animal-Assisted Intervention,Natrual Medicine
Animal Assisted Therapy,Pet Therapy,Natrual Medicine
Animal Assisted Therapy,Animal-Assisted Education,Natrual Medicine
Animal Assisted Therapy,Animal-Facilitated Therapy,Natrual Medicine
Anodyne Therapy,Anodyne Therapy,Natrual Medicine
Anthroposophy,Anthroposophy,"MESH, Duke"
Applied Kinesiology,Applied Kinesiology,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Aquatic exercise,Aquatic exercise,Natrual Medicine
Aquatic exercise,Aquatic Physical Therapy,Natrual Medicine
Aquatic exercise,Motion-Based Hydrotherapy,Natrual Medicine
Aquatic exercise,Pool Therapy,Natrual Medicine
Aromatherapy,Aromatherapy,Natrual Medicine
Aromatherapy,Aromatic Therapy,Natrual Medicine
Aromatherapy,Aroma Treatment,Natrual Medicine
Aromatherapy,Aroma,Natrual Medicine
Aromatherapy,Aromaterapia,Natrual Medicine
Aromatherapy,Aroma Therapy,Natrual Medicine
Art of Living,Art of Living,Natrual Medicine
Art of Living,Art of Living Foundation,Natrual Medicine
Art therapy,Art therapy,"Natrual Medicine,Integrative Nursing, Mayo, Duke, Cochrane, MESH"
Art therapy,Art Stimulation,Natrual Medicine
Art therapy,Artistic therapies,Duke
Aston-Patterning,Aston-Patterning,"Integrative Nursing, NCCIH, Lindquist"
Aura-Soma Therapy,Aura-Soma Therapy,Duke
Autogenic Training,Autogenic Training,Natrual Medicine
Autogenic Training,Autogenic,"Natrual Medicine,Integrative Nursing, NCCIH, MESH, Mayo,Cochrane"
