approach,term,vocabulary
Acupuncture,Acupuncture,"Natural Medicines,Integrative Nursing, NCCIH, MESH, Mayo, Duke, Cochrane"
Acupuncture,Acupuntura,Natural Medicines
Acupuncture,Acuponcture,Natural Medicines
Acupuncture,Acuponcture Chinoise,Natural Medicines
Acupuncture,Chinese Acupuncture,Natural Medicines
Acupuncture Analgesia,Acupuncture Analgesia,MESH
Acustimulation,Acustimulation,Natural Medicines
Aikido,Aikido,Natural Medicines
Alexander Technique,Alexander Technique,Natural Medicines
Alexander Technique,Technique Alexander,Natural Medicines
Animal Assisted Therapy,Animal Assisted Therapy,"Natural Medicines,Integrative Nursing, Lindquist, Mayo"
Animal Assisted Therapy,Canine-Assisted Therapy,Natural Medicines
Animal Assisted Therapy,Pet-Assisted Therapy,Natural Medicines
Animal Assisted Therapy,Pet-Facilitated Therapy,Natural Medicines
Animal Assisted Therapy,Animal-Assisted Activities,Natural Medicines
Animal Assisted Therapy,Animal-Assisted Intervention,Natural Medicines
Animal Assisted Therapy,Pet Therapy,Natural Medicines
Animal Assisted Therapy,Animal-Assisted Education,Natural Medicines
Animal Assisted Therapy,Animal-Facilitated Therapy,Natural Medicines
Anodyne Therapy,Anodyne Therapy,Natural Medicines
Anthroposophy,Anthroposophy,"MESH, Duke"
Applied Kinesiology,Applied Kinesiology,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Aquatic exercise,Aquatic exercise,Natural Medicines
Aquatic exercise,Aquatic Physical Therapy,Natural Medicines
Aquatic exercise,Motion-Based Hydrotherapy,Natural Medicines
Aquatic exercise,Pool Therapy,Natural Medicines
Aromatherapy,Aromatherapy,Natural Medicines
Aromatherapy,Aromatic Therapy,Natural Medicines
Aromatherapy,Aroma Treatment,Natural Medicines
Aromatherapy,Aroma,Natural Medicines
Aromatherapy,Aromaterapia,Natural Medicines
Aromatherapy,Aroma Therapy,Natural Medicines
Art of Living,Art of Living,Natural Medicines
Art of Living,Art of Living Foundation,Natural Medicines
Art therapy,Art therapy,"Natural Medicines,Integrative Nursing, Mayo, Duke, Cochrane, MESH"
Art therapy,Art Stimulation,Natural Medicines
Art therapy,Artistic therapies,Duke
Aston-Patterning,Aston-Patterning,"Integrative Nursing, NCCIH, Lindquist"
Aura-Soma Therapy,Aura-Soma Therapy,Duke
Autogenic Training,Autogenic Training,Natural Medicines
Autogenic Training,Autogenic,"Natural Medicines,Integrative Nursing, NCCIH, MESH, Mayo,Cochrane"
Ayurveda,Ayurveda,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Ayurveda,Ayurvedic medicine,"Natural Medicines,Integrative Nursing, NCCIH, MESH, Mayo,Cochrane"
Balneotherapy,Balneotherapy,"Natural Medicines, Integrative Nursing, NCCIH, Lindquist"
behavioral therapy,behavioral therapy,"Natural Medicines,Integrative Nursing"
Bibliotherapy,Bibliotherapy,"SNOMED, Integrative Nursing, Duke, Cochrane"
Bibliotherapy,workbooks,Natural Medicines
Bioacoustics Therapy,Bioacoustics Therapy,Duke
Bioenergetics,Bioenergetics,"Natural Medicines,Duke, Cochrane"
Bioenergetics,Bioenergy Therapy,Natural Medicines
Bioenergetics,Bioenergetic Medicine,Natural Medicines
Bioenergetics,Bioenergetic Therapy,Natural Medicines
Bioenergetics,Bioenergetic Analysis,Natural Medicines
Biofeedback,Biofeedback,"Natural Medicines, Mayo"
Biofeedback,Biofeedback Therapy,"Natural Medicines,Integrative Nursing"
Biofeedback,Biofeedback Training,Natural Medicines
Biofield Therapy,Biofield Therapy,Natural Medicines
Biofield Therapy,Biofield Energy Therapy,Natural Medicines
Bioresonance Therapy,Bioresonance Therapy,"Natural Medicines, MESH"
Bodywork Therapy,Bodywork Therapy,Natural Medicines
Bowen Technique,Bowen Technique,Natural Medicines
Bowen Technique,Technique Bowen,"Natural Medicines,Integrative Nursing, NCCIH, Cochrane"
Bowen Technique,Bowen Manipulative Therapy,Natural Medicines
Bowen Technique,Bowen Therapy,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Bowen Technique,Technique de Bowen,Natural Medicines
Breadth and relaxation,Breadth and relaxation,"Integrative Nursing, NCCIH, Cochrane"
Buteyko Breathing Technique,Buteyko Breathing Technique,Natural Medicines
Buteyko Breathing Technique,Eucapnic Breathing Technique,Natural Medicines
Buteyko Breathing Technique,Buteyko Breathing Training,Natural Medicines
Buteyko Breathing Technique,Buteyko Institute Method,Natural Medicines
Buteyko Breathing Technique,Buteyko Method,Natural Medicines
Buteyko Breathing Technique,Buteyko Technique,Natural Medicines
CelluBike,CelluBike,Natural Medicines
Chakra Balancing,Chakra Balancing,Duke
Chinese massage,Chinese massage,"Integrative Nursing, NCCIH, Lindquist"
Chiropractic,Chiropractic,"Natural Medicines,Integrative Nursing, NCCIH, Mayo, Duke, Cochrane"
Chiropractic,Chiropratique,Natural Medicines
Chiropractic,Chirotherapy,Natural Medicines
Chiropractic,Chiropraticien,Natural Medicines
Chiropractic,Chiropractie,Natural Medicines
Chiropractic,Chiropraxie,Natural Medicines
Chiropractic,Chiro Therapy,Natural Medicines
Chromotherapy,Chromotherapy,"Natural Medicines,Cochrane, MESH"
Chromotherapy,Color Medicine,Natural Medicines
Chromotherapy,Colorology,Natural Medicines
Chromotherapy,Chromotherapie,"Natural Medicines,Integrative Nursing"
Chromotherapy,Color therapy,Natural Medicines
Chromotherapy,Cromoterapia,Natural Medicines
Chromotherapy,Colorologie,Natural Medicines
Cold therapies,Cold therapies,"Natural Medicines, Integrative Nursing, NCCIH, Lindquist"
colon irrigation,colon irrigation,"Natural Medicines, Cochrane"
colon irrigation,Colon cleansing,Cochrane
Cooling the environment,Cooling the environment,Integrative Nursing
Counseling,Counseling,"Integrative Nursing,Duke, Mayo"
Counseling,Psychological counseling,Duke
Craniosacral Therapy,Craniosacral Therapy,"Natural MedicinesIntegrative Nursing, NCCIH, Lindquist, Cochrane"
Craniosacral Therapy,Craniosacral Approach,Natural Medicines
Craniosacral Therapy,Cranial Therapy,Natural Medicines
Craniosacral Therapy,Craniosacral Treatment,Natural Medicines
Craniosacral Therapy,Terapia Craneosacral,Natural Medicines
Craniosacral Therapy,Approche Craniosacrale,Natural Medicines
Craniosacral Therapy,Upledger Therapy,Natural Medicines
Crystal Therapy,Crystal Therapy,Natural Medicines
Crystal Therapy,Crystal Healing,Natural Medicines
Crystal Therapy,Cristaux,Natural Medicines
Cupping,Cupping,"Natural Medicines,Mayo"
Cupping,Medicinal Cupping,Natural Medicines
Cupping,Traditional Cupping,Natural Medicines
Cupping,Cupping Massage,Natural Medicines
Cupping,Ventosaterapia,"Natural Medicines,Integrative Nursing, Duke"
Dance therapy,Dance therapy,"Natural Medicines,Integrative Nursing, Duke, Cochrane"
Deep breathing,Deep breathing,"Natural Medicines,Integrative Nursing, Mayo"
Deep breathing,Breathwork,"Natural Medicines,Integrative Nursing, Duke"
Deep Tissue Massage,Deep Tissue Massage,"Mayo, Cochrane"
Deep Tissue Massage,Deep tissue bodywork,"Natural Medicines,Duke, Cochrane"
Dialectical behavior therapy,Dialectical behavior therapy,Natural Medicines
Distraction,Distraction,Integrative Nursing
Distraction,Nature,Integrative Nursing
Distraction,Virtual Reality,Integrative Nursing
Drama therapy,Drama therapy,"Duke, Cochrane"
Ear Candling,Ear Candling,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist"
Ear Candling,Auricular Candles,Natural Medicines
Ear Candling,Ear Candle Treatment,Natural Medicines
Ear Candling,Ear Candle Therapy,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Ear Candling,Ear Coning,Natural Medicines
Ear Candling,Chandelles Auriculaires,Natural Medicines
Ear Candling,Ear Candle,"Natural Medicines,Cochrane"
Educate patients on anticipating diarrhea with certain circumstances,Educate patients on anticipating diarrhea with certain circumstances,Integrative Nursing
Electrical or magnetic therapies,Electrical or magnetic therapies,"Integrative Nursing, NCCIH, Lindquist, Cochrane"
Electrodermal Testing,Electrodermal Testing,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Emotional Freedom Techniques,Emotional Freedom Techniques,"Natural Medicines,Integrative Nursing"
Energy field work,Energy field work,Cochrane
Energy management,Energy management,Integrative Nursing
Energy management awareness education,Energy management awareness education,Integrative Nursing
Energy Management Strategies,Energy Management Strategies,"Natural Medicines, Integrative Nursing"
Energy Management Strategies,Energy conservation and restoration strategies,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Energy Therapy,Energy Therapy,Natural Medicines
Energy Therapy,Energy medicine,"Natural Medicines,Integrative Nursing"
Energy Work,Energy Work,Natural Medicines
Engaging in natural environments,Engaging in natural environments,"Natural Medicines, Integrative Nursing"
Environmental therapy,Environmental therapy,"Natural Medicines, Integrative Nursing, Cochrane"
Eurythmy,Eurythmy,"Natural Medicines,Integrative Nursing"
Exercise,Exercise,"Integrative Nursing, Mayo"
Expressive Therapies,Expressive Therapies,Natural Medicines
Expressive writing therapy,Expressive writing therapy,"Integrative Nursing, Lindquist, Cochrane"
Expressive writing therapy,Journaling,"Integrative Nursing, Lindquist, Cochrane"
Facening,Facening,"Natural Medicines,Cochrane"
Facening,Facial Exercise,Natural Medicines
Feldenkrais Method,Feldenkrais Method,"Natural Medicines, NCCIH, Mayo, Duke, Cochrane"
Feldenkrais Method,Awareness Through Movement,Natural Medicines
Feldenkrais Method,Feldenkrais Bodywork,Natural Medicines
Feldenkrais Method,Gestalt Synergy,Natural Medicines
Feng shui,Feng shui,"Natural Medicines,Cochrane"
Flotation therapy,Flotation therapy,Duke
Focusing,Focusing,"Natural Medicines,Integrative Nursing"
Focusing,Focusing-Oriented Therapy,Natural Medicines
Focusing,Focusing Process,Natural Medicines
Focusing,Focusing Therapy,Natural Medicines
Functional medicine,Functional medicine,"Integrative Nursing, Duke"
Gentle activity of preference,Gentle activity of preference,Integrative Nursing
Gestalt therapy,Gestalt therapy,Cochrane
Guided Imagery,Guided Imagery,Natural Medicines
Guided Imagery,Guided Health Imagery,Natural Medicines
Guided Imagery,Visualisation,"Natural Medicines,Integrative Nursing, NCCIH, Lindquist, Mayo, Duke"
Guided Imagery,Guided Visualization,Natural Medicines
Guided Imagery,Visualization,Natural Medicines
Guided Imagery,Visualization Therapy,Natural Medicines
Guided Imagery,Imagery,Natural Medicines
